n	Charge value	Charge error	Relative error	Class
1	3.13e-19	1.565e-20	5	1
2	3.21e-19	1.605e-20	5	1
5	3.23e-19	1.615e-20	5	1
6	3.23e-19	1.615e-20	5	1
3	3.23e-19	1.615e-20	5	1
4	3.23e-19	1.615e-20	5	1
7	3.25e-19	1.625e-20	5	1
9	3.334e-19	1.667e-20	5	1
8	3.34e-19	1.67e-20	5	1
11	3.4e-19	1.7e-20	5	1
10	3.45e-19	1.725e-20	5	1
13	4.71e-19	2.355e-20	5	2
12	4.71e-19	2.355e-20	5	2
14	4.72e-19	2.36e-20	5	2
16	4.73e-19	2.365e-20	5	2
15	4.73e-19	2.365e-20	5	2
17	4.75e-19	2.375e-20	5	2
18	4.76e-19	2.38e-20	5	2
19	4.79e-19	2.395e-20	5	2
20	4.81e-19	2.405e-20	5	2
21	4.83e-19	2.415e-20	5	2
23	4.84e-19	2.42e-20	5	2
22	4.84e-19	2.42e-20	5	2
24	4.85e-19	2.425e-20	5	2
25	4.86e-19	2.43e-20	5	2
26	4.88e-19	2.44e-20	5	2
27	6.3e-19	3.15e-20	5	3
28	6.31e-19	3.155e-20	5	3
29	6.33e-19	3.165e-20	5	3
30	6.35e-19	3.175e-20	5	3
31	6.37e-19	3.185e-20	5	3
32	6.41e-19	3.205e-20	5	3
33	6.43e-19	3.215e-20	5	3
34	6.45e-19	3.225e-20	5	3
35	6.46e-19	3.23e-20	5	3
36	6.48e-19	3.24e-20	5	3
37	6.49e-19	3.245e-20	5	3
38	6.51e-19	3.255e-20	5	3
39	6.52e-19	3.26e-20	5	3
40	6.53e-19	3.265e-20	5	3
41	6.54e-19	3.27e-20	5	3
43	6.55e-19	3.275e-20	5	3
42	6.55e-19	3.275e-20	5	3
44	6.56e-19	3.28e-20	5	3
45	6.57e-19	3.285e-20	5	3
46	6.58e-19	3.29e-20	5	3
48	7.76e-19	3.88e-20	5	4
47	7.76e-19	3.88e-20	5	4
49	7.77e-19	3.885e-20	5	4
50	7.79e-19	3.895e-20	5	4
51	7.81e-19	3.905e-20	5	4
52	7.84e-19	3.92e-20	5	4
53	7.88e-19	3.94e-20	5	4
54	7.94e-19	3.97e-20	5	4
55	7.95e-19	3.975e-20	5	4
56	7.96e-19	3.98e-20	5	4
57	8.01e-19	4.005e-20	5	4
58	8.04e-19	4.02e-20	5	4
59	8.09e-19	4.045e-20	5	4
60	8.11e-19	4.055e-20	5	4
61	8.13e-19	4.065e-20	5	4
62	9.33e-19	4.665e-20	5	5
63	9.38e-19	4.69e-20	5	5
64	9.44e-19	4.72e-20	5	5
65	9.52e-19	4.76e-20	5	5
66	9.6e-19	4.8e-20	5	5
67	9.65e-19	4.825e-20	5	5
68	9.72e-19	4.86e-20	5	5
69	9.8e-19	4.9e-20	5	5
71	9.82e-19	4.91e-20	5	5
70	9.82e-19	4.91e-20	5	5
72	1.25e-18	6.25e-20	5	6
74	1.26e-18	6.3e-20	5	6
73	1.26e-18	6.3e-20	5	6
75	1.27e-18	6.35e-20	5	6
76	1.28e-18	6.4e-20	5	6
79	1.29e-18	6.45e-20	5	6
78	1.29e-18	6.45e-20	5	6
77	1.29e-18	6.45e-20	5	6
80	1.3e-18	6.5e-20	5	6
