n	Charge value	Charge error	Relative error	Class
1008856611	2.425e-20	5.17435e-313	2.13375e-291	1
1008861447	2.43e-20	5.32358e-313	2.19078e-291	2
1009204782	2.44e-20	5.68502e-313	2.32993e-291	3
1009207200	3.15e-20	5.83426e-313	1.85214e-291	4
1009212036	3.155e-20	6.13273e-313	1.94381e-291	5
1009216871	3.165e-20	6.28196e-313	1.98482e-291	6
1009221707	3.175e-20	6.4312e-313	2.02557e-291	7
1009231378	3.185e-20	6.61191e-313	2.07595e-291	8
858862386	6.95302e-310	4.05578e-320	5.83312e-09	959459377
761608247	1.65883e-76	5.0159e-58	3.02376e+20	892678190
923414585	1.58741e-47	9.35421e-67	5.89276e-18	825767734
1009248303	3.23e-20	7.48402e-313	2.31703e-291	12
1009250721	3.24e-20	7.66474e-313	2.36566e-291	13
1009255557	3.245e-20	8.05765e-313	2.4831e-291	14
1009257975	3.255e-20	8.23837e-313	2.53099e-291	15
0	3.13e-19	1.565e-20	5	16
24	3.21e-19	1.605e-20	5	16
32766	3.23e-19	1.615e-20	5	16
32766	3.23e-19	1.615e-20	5	16
25	3.23e-19	1.615e-20	5	16
26	3.23e-19	1.615e-20	5	16
29	3.25e-19	1.625e-20	5	16
30	3.334e-19	1.667e-20	5	16
32766	3.34e-19	1.67e-20	5	16
0	3.4e-19	1.7e-20	5	16
33	3.45e-19	1.725e-20	5	16
35	4.71e-19	2.355e-20	5	17
34	4.71e-19	2.355e-20	5	17
36	4.72e-19	2.36e-20	5	17
37	4.73e-19	2.365e-20	5	17
38	4.73e-19	2.365e-20	5	17
39	4.75e-19	2.375e-20	5	17
40	4.76e-19	2.38e-20	5	17
41	4.79e-19	2.395e-20	5	17
42	4.81e-19	2.405e-20	5	17
43	4.83e-19	2.415e-20	5	17
44	4.84e-19	2.42e-20	5	17
45	4.84e-19	2.42e-20	5	17
46	4.85e-19	2.425e-20	5	17
47	4.86e-19	2.43e-20	5	17
48	4.88e-19	2.44e-20	5	17
49	6.3e-19	3.15e-20	5	18
50	6.31e-19	3.155e-20	5	18
51	6.33e-19	3.165e-20	5	18
52	6.35e-19	3.175e-20	5	18
53	6.37e-19	3.185e-20	5	18
54	6.41e-19	3.205e-20	5	18
55	6.43e-19	3.215e-20	5	18
56	6.45e-19	3.225e-20	5	18
57	6.46e-19	3.23e-20	5	18
58	6.48e-19	3.24e-20	5	18
59	6.49e-19	3.245e-20	5	18
60	6.51e-19	3.255e-20	5	18
61	6.52e-19	3.26e-20	5	18
62	6.53e-19	3.265e-20	5	18
63	6.54e-19	3.27e-20	5	18
65	6.55e-19	3.275e-20	5	18
64	6.55e-19	3.275e-20	5	18
66	6.56e-19	3.28e-20	5	18
67	6.57e-19	3.285e-20	5	18
68	6.58e-19	3.29e-20	5	18
69	7.76e-19	3.88e-20	5	19
70	7.76e-19	3.88e-20	5	19
71	7.77e-19	3.885e-20	5	19
72	7.79e-19	3.895e-20	5	19
73	7.81e-19	3.905e-20	5	19
74	7.84e-19	3.92e-20	5	19
75	7.88e-19	3.94e-20	5	19
76	7.94e-19	3.97e-20	5	19
77	7.95e-19	3.975e-20	5	19
78	7.96e-19	3.98e-20	5	19
1008146535	8.01e-19	4.005e-20	5	19
1008185220	8.04e-19	4.02e-20	5	19
1008194892	8.09e-19	4.045e-20	5	19
1008194892	8.11e-19	4.055e-20	5	19
1008194892	8.13e-19	4.065e-20	5	19
1008194892	9.33e-19	4.665e-20	5	20
1008204563	9.38e-19	4.69e-20	5	20
1008248084	9.44e-19	4.72e-20	5	20
1008245183	9.52e-19	4.76e-20	5	20
